,WSR0,WSR1,WSR2,WSR3,WSR4,WSR5,WSR6,WSR7,WSR8,WSR9,WSR10,WSR11,WSR12,WSR13,WSR14,WSR15,WSR16,WSR17,WSR18,WSR19,WSR20,WSR21,WSR22,WSR23,WSR_PK,WSR_AV,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T_PK,T_AV,T85,RH85,U85,V85,HT85,T70,RH70,U70,V70,HT70,T50,RH50,U50,V50,HT50,KI,TT,SLP,SLP_,Precp,Ozone
WSR0,1.0,0.920074371623262,0.8601751980426336,0.8035394982827765,0.7541845777711234,0.7035018269387623,0.6666966873770763,0.5978707464809971,0.5436681669658935,0.5015770285361457,0.46852185236765026,0.44213596728014937,0.4167314610809887,0.38671269104518363,0.34510551329179046,0.33187453926947424,0.3072535462936986,0.2570652686277197,0.24475713961422613,0.2646579887296205,0.2794645060106713,0.3261474894120667,0.3355063372542281,0.34733320255552863,0.5080923837959863,0.6862222421039428,-0.005999031810775626,0.0006353882759276803,-0.0020510176934607654,-0.004188064292984281,-0.011315693968901903,-0.02105442855808427,-0.040007460393936246,-0.08469485751324558,-0.14932581596153716,-0.20378828790406078,-0.24079417932096298,-0.25590059907664775,-0.263583718705733,-0.2627564880619918,-0.26099426030637357,-0.2587089643867651,-0.2584864674803479,-0.25018969247680983,-0.24073423520572046,-0.23294205130310716,-0.2238046053865424,-0.21839165297780577,-0.21357342620481407,-0.20564426710837488,-0.24655462924304256,-0.16939741421427093,-0.039468006389576975,0.14749203040799905,0.2098322025098527,0.42488269186906025,-0.24387763865627166,-0.018159343714067293,0.08460220471538002,0.23284297488927508,0.42668669398430825,-0.19541089891457564,-0.1303148889255854,0.13390469543388459,0.2383983560548239,0.35830042205088053,-0.15947174447164564,0.1060469475229014,0.16370530677367828,-0.1261738858839339,-0.1260179074428737,0.1041766430974323,-0.12405081073700944
WSR1,0.920074371623262,1.0,0.9250516882334968,0.8517951048387995,0.8025571926024844,0.7471079253421401,0.7099249639233012,0.6417758188672191,0.5769506874057503,0.5279540423226979,0.4872123952632138,0.46245426021424946,0.429628524485868,0.395454068000093,0.35139362753266734,0.3386770381853868,0.31243198123543603,0.2590341483587398,0.23985373029803186,0.25348190112783864,0.26340005912491543,0.3141591474795659,0.3253646531654074,0.3396492598190103,0.5182992922468552,0.7076494970536279,-0.03326597433323294,-0.025075189632609865,-0.025630411892751427,-0.029212426207565464,-0.03795520460762555,-0.048545902756586906,-0.0683088179642448,-0.11437817852805297,-0.1817492666610959,-0.23780945859136973,-0.27691565756180025,-0.2927159182545151,-0.3014804135465734,-0.2986458293026573,-0.29654886743779163,-0.29406563855438284,-0.2944707533181143,-0.2855712429151145,-0.2762243456876769,-0.2682753878105603,-0.2597094600173528,-0.2541321601149752,-0.24869119414400745,-0.24065044431506719,-0.27983781039663774,-0.20273923918471037,-0.061025287918648724,0.14593313853678389,0.20857272255360856,0.38918632539946146,-0.2526420026297557,-0.042947944921308746,0.09297053719858775,0.24782517453018635,0.418880536720137,-0.21410824926870686,-0.14644651463425287,0.12296863482991323,0.24877946084099387,0.3602804572485994,-0.17978598239345725,0.10264020403804118,0.15610838640648161,-0.11393346559847825,-0.11446778810033144,0.11642610633369514,-0.12732389559147778
WSR2,0.8601751980426336,0.9250516882334968,1.0,0.9174162221293026,0.847347395162462,0.7860744574909527,0.7473863912530966,0.6746567840651291,0.6083644348035823,0.5614793639639322,0.5166398852873468,0.4927430094950826,0.4663349621078021,0.4313965853318125,0.38886554103944737,0.3621177137852161,0.3298094155934277,0.26697749586818026,0.24154837335923943,0.2571784592032416,0.2655408579879126,0.3198129093487989,0.33410223915593007,0.3494590761415086,0.5360793867078095,0.7347911950347812,-0.06721526505817238,-0.05646200321614608,-0.05341914905516976,-0.05487311232599371,-0.06404514928652744,-0.07487430813161526,-0.0953304955657076,-0.1442468340865378,-0.21327556163850345,-0.2705411710002629,-0.3087980576376052,-0.3250999548517951,-0.3333677346508057,-0.3304187465091713,-0.3305651831530462,-0.33082403290114515,-0.33146102951326084,-0.3224605676207643,-0.31174503731720515,-0.30169110756577655,-0.291710554696958,-0.28576176910754664,-0.2796536940329923,-0.2718228246480187,-0.3147412590046819,-0.23583771422042454,-0.09269021283374598,0.1417138433194127,0.22000024714676328,0.3899151747269366,-0.2577688786863281,-0.06799879671879827,0.08849425856019874,0.26871839548708815,0.423251933529843,-0.23348997712614944,-0.17106979775120357,0.11032026012562628,0.28275696411335355,0.37485987977661017,-0.20336960980630592,0.08953260069428778,0.14077476457358806,-0.09464496839437744,-0.12744074519850332,0.11047195256726373,-0.1325209775450828
WSR3,0.8035394982827765,0.8517951048387995,0.9174162221293026,1.0,0.9136903538401103,0.8460657482038364,0.789118872855542,0.7085198936022062,0.6265372289218043,0.5755968221736432,0.529826759058772,0.5074470588639145,0.4807404236853272,0.4434631510682617,0.39927353698311846,0.36410309095902127,0.32477536201318447,0.2587145765239435,0.23963493360015964,0.25953069690585695,0.268701311347615,0.3169014681979107,0.3342016855802827,0.3482875553093447,0.5337697829107073,0.7424398426711489,-0.09654403148296387,-0.085816879805516,-0.07804954641130787,-0.07785982225156339,-0.08562977537704422,-0.09635131944912548,-0.117753411549837,-0.16933799544039865,-0.24097903241437216,-0.2985402315400961,-0.3366859938404222,-0.35335100171973094,-0.3611366270380416,-0.35872088863492213,-0.35851532335345576,-0.35808525467868063,-0.3579741689499932,-0.34678698709311706,-0.3342651594303175,-0.3237597475128959,-0.3124230911281296,-0.3057120644920275,-0.29796557657996453,-0.2902275104851652,-0.3443899960293203,-0.2617968922800301,-0.1109806205335431,0.14584013381932073,0.21999497677969845,0.3658585235036796,-0.277244486345235,-0.08543015415545868,0.08937811642269979,0.2723247307406253,0.4105077567528768,-0.257125535693089,-0.18741704999951098,0.10969800682536181,0.2964083527273845,0.3688033539580871,-0.22549877803639426,0.08239453329821311,0.13469349436013192,-0.09440410167751018,-0.11963138072747732,0.11713714584308603,-0.13470530948975054
WSR4,0.7541845777711234,0.8025571926024844,0.847347395162462,0.9136903538401103,1.0,0.9144698925924428,0.8360968774249724,0.7355378288205914,0.6294983489645236,0.5690869683023136,0.5265713783283893,0.5047518800062805,0.4829341243180836,0.4400486259511601,0.39197487501056594,0.358996465542272,0.3147334909750377,0.24139210650367793,0.22063998389705625,0.23824542429768714,0.24806206295021224,0.2937540589703164,0.3124533686252465,0.3322263037072859,0.5251904799729634,0.7305061409943673,-0.12325406882837855,-0.11289915966021692,-0.10603152187171531,-0.10447806116075739,-0.10881993862061959,-0.11851888463099135,-0.1419942165565544,-0.1956286202600318,-0.26746154982580594,-0.32436998556667795,-0.360752324408149,-0.37468167417012477,-0.3823193069391484,-0.3820622263303018,-0.3814708955636505,-0.3811159127365592,-0.37980023168656296,-0.36731716157763766,-0.35497550988053106,-0.3445000701279093,-0.33297334607197027,-0.3251926383446895,-0.3167114827582203,-0.30883721362416383,-0.3669518487846334,-0.28590741701633776,-0.13111898392674956,0.15411988932823067,0.18775148411986758,0.3372110754446218,-0.26987297596140775,-0.10907648617895835,0.09878646278245033,0.2575697572466984,0.39558296840205087,-0.2634567519483166,-0.1898932113525827,0.11149888070117853,0.28881285856109934,0.3579477129190933,-0.2341487034776389,0.0786753689110602,0.12240160498512921,-0.07525933767303572,-0.11043234132248636,0.14127327059002828,-0.12273893967075714
WSR5,0.7035018269387623,0.7471079253421401,0.7860744574909527,0.8460657482038364,0.9144698925924428,1.0,0.9038723039137193,0.7574884835392957,0.6497721559236077,0.5847750769797712,0.5384838614243599,0.5089255132379423,0.4827928199707099,0.44499348179989207,0.40028895558044736,0.36968007832524025,0.31770555693031943,0.24662970394331843,0.22442336536263027,0.2465548200168494,0.25341714914712216,0.2994356001888975,0.3211269412547089,0.3452575086799935,0.527875921165602,0.7294528014041161,-0.13323167037641437,-0.12227980179045105,-0.11630423897094275,-0.11409205022049333,-0.11678789135033948,-0.12399864331133843,-0.14835892896046696,-0.20319729726217192,-0.27566857164997943,-0.33333947896632843,-0.3701270082529714,-0.38455555456705454,-0.3930893850020219,-0.39308209428812463,-0.39409228667790525,-0.3972737840111743,-0.3962951578798053,-0.3840196088255221,-0.3684503783726555,-0.3555815667034469,-0.3431433561935348,-0.333626860416693,-0.3231674052278434,-0.3143325764406448,-0.3789098469722466,-0.29636096221022007,-0.13559658674936625,0.14146832717447522,0.17106774533181587,0.32456335819590265,-0.27875413787657155,-0.11595030431847306,0.0884219453805189,0.25755082677671426,0.380434386826749,-0.2730078185887783,-0.19887631214205273,0.10317642699691866,0.2809520580254211,0.35004098131083683,-0.24440116259158515,0.064717196445917,0.11129994334132276,-0.07817233608324917,-0.10364522176099929,0.1329822326653134,-0.11982141612448095
WSR6,0.6666966873770763,0.7099249639233012,0.7473863912530966,0.789118872855542,0.8360968774249724,0.9038723039137193,1.0,0.8529715807513106,0.7068158665682794,0.6214378530093329,0.5680657160516573,0.5261346641328283,0.4872279714964023,0.447667575177685,0.4064342592190802,0.37714664002445347,0.33365993111886555,0.2711642141413861,0.2547434480489046,0.2622704520466592,0.2675317196388621,0.30664242430077787,0.33017482817633714,0.3515346276085577,0.5344998048252051,0.7363090918145373,-0.08850441585960363,-0.07934548124047472,-0.07350741931395799,-0.07131990907016397,-0.07322064725565086,-0.07857770306448732,-0.09792278074921185,-0.15217359875107375,-0.2260008487779643,-0.28604996665474813,-0.32602301173887954,-0.3410455929799019,-0.3516669596646809,-0.3537233377139447,-0.3555195666582581,-0.3580303631329514,-0.3561220004995441,-0.34296507979245394,-0.3248691239225079,-0.31197239117857767,-0.3005375111157933,-0.291786947624032,-0.28198175578342094,-0.27376290600155917,-0.3348683641561093,-0.2512857576104995,-0.09865017395273538,0.15132468561850632,0.15456154256497712,0.322597577955871,-0.25772135968607673,-0.08076559966067473,0.08741603166329905,0.22287338655607286,0.36416799612256445,-0.2364223356621957,-0.15242502274255817,0.09276476308160674,0.24120589528071074,0.3420599758472175,-0.20233633400579726,0.0825650461833155,0.12307124130142658,-0.09442083598867035,-0.10368010198340419,0.12435821557829677,-0.12703681176234996
WSR7,0.5978707464809971,0.6417758188672191,0.6746567840651291,0.7085198936022062,0.7355378288205914,0.7574884835392957,0.8529715807513106,1.0,0.8522646319402105,0.6916086444808185,0.590443459215023,0.5244395561402059,0.4699936543877493,0.4208284123024098,0.37916113242027877,0.35683341141564484,0.32733625271344857,0.30166217027276765,0.30347002563325115,0.29104806938994154,0.28598799381293727,0.30821265861939035,0.31875638579933047,0.3313870053794413,0.5250866528549437,0.7190311303075443,0.05183615327251916,0.05783252077758351,0.0619930734510335,0.06316122345190128,0.060531543914897186,0.0549808226700688,0.04507610037445406,0.010202746629630175,-0.057378133204672284,-0.11492974721293385,-0.15510355619623897,-0.1718659633403294,-0.18374535477706894,-0.18670829356588337,-0.18833487176131952,-0.18949582411960258,-0.1846726488365027,-0.16947509374243402,-0.15319885021706495,-0.14421163881440344,-0.13548454762782444,-0.1321130859078544,-0.1266984676830443,-0.12270468200606013,-0.16459460435680914,-0.08779479983806977,0.035478951224500024,0.1409876944829914,0.09387644445120001,0.29135672005140695,-0.19866843471105433,0.03254328221742413,0.10054418369333655,0.11399303383471845,0.2903682568667478,-0.12678873012820557,-0.027437079154907108,0.08123763146325011,0.12110178668120787,0.2570868022844565,-0.07897284172570608,0.13801589289010088,0.1549534895814722,-0.15423549425234753,-0.11028831760202444,0.08380391331396547,-0.11884169850765956
WSR8,0.5436681669658935,0.5769506874057503,0.6083644348035823,0.6265372289218043,0.6294983489645236,0.6497721559236077,0.7068158665682794,0.8522646319402105,1.0,0.8366790175105585,0.6918887222990366,0.5880850089693587,0.5248426645957109,0.4620937852370558,0.4168754239691783,0.38819174973662585,0.36521645510928435,0.34190238176418514,0.3294348961381263,0.32072045801111293,0.3022152349959135,0.31657600956898024,0.31738460884542447,0.3240718751826535,0.5555204275758384,0.7214256297767941,0.04334791604652413,0.04679150047391555,0.048764021125901426,0.0494969193566049,0.04639977223966148,0.04044260121575737,0.03383307558020784,0.01578722666523599,-0.031111633370063892,-0.07780189823040722,-0.1137417861959092,-0.1290287349577673,-0.13993823096581295,-0.1431413377465661,-0.14490931797779522,-0.14634992916744177,-0.14333824203687937,-0.1316356122841956,-0.1212156938401541,-0.11795707421032008,-0.11253457542987517,-0.11159395104894797,-0.11029406815649818,-0.10742719877677041,-0.12938652595638356,-0.0677583181380133,0.02499383214397979,0.048758592736739916,0.11594354389162585,0.22988317929308394,-0.18232974086344622,0.021741876517973272,0.04188937782032716,0.12397302030213218,0.21184117106385927,-0.12259957336003609,-0.04902060434022872,0.03753843525577432,0.11398417407684266,0.1794916620284517,-0.08566596259062746,0.07136073880371994,0.09149469940687871,-0.1349011834382137,-0.06771775786873095,0.022177461102212387,-0.14100531415858147
WSR9,0.5015770285361457,0.5279540423226979,0.5614793639639322,0.5755968221736432,0.5690869683023136,0.5847750769797712,0.6214378530093329,0.6916086444808185,0.8366790175105585,1.0,0.86719439236161,0.7378679680824881,0.6607270128196994,0.5977238144630624,0.5390736968549913,0.5027490676609845,0.4609581943550548,0.40270056633328744,0.3651565958957662,0.3582648480645325,0.3451987195348652,0.3667953028282445,0.361150222702553,0.3673751073545121,0.6462650090359011,0.7675101150396386,-0.08111349607967408,-0.07610110550482645,-0.07401718647862435,-0.07174072375319251,-0.07197545602994318,-0.07485928241072545,-0.08242429341826842,-0.10021175724132794,-0.13022779034826737,-0.16490734836721332,-0.19471886562630408,-0.2104122812319461,-0.2189590089179217,-0.22179716287605297,-0.22748690745741987,-0.23266021510471588,-0.2340359458478885,-0.23015977994966796,-0.22565020583412468,-0.22093828115944544,-0.21485039897627628,-0.21234887046047993,-0.2095499519725784,-0.2033328883387199,-0.22067353323797761,-0.17247601410340618,-0.11062394961455708,-0.03536245549619977,0.1858896918137412,0.21559434143663553,-0.21261385596644986,-0.07968256056988963,-0.05741826606348227,0.2172608415524133,0.19248749996282896,-0.2117199216723375,-0.1636968171041256,-0.021767594859457153,0.21840483770071165,0.16703228512472823,-0.19196438415722586,-0.063752309216379,-0.01968846162045398,-0.057820771145451484,-0.05606106236442267,-0.04233379803192125,-0.18504126128942014
