var1,var2,cor
T0,T1,0.9977062344945747
T0,T2,0.9930413737871832
T0,T3,0.9880614380376812
T0,T4,0.9820072713508048
T0,T5,0.976226862682853
T0,T6,0.9716723181756893
T0,T7,0.9657487043328277
T1,T2,0.997523331988576
T1,T3,0.9935614563629509
T1,T4,0.988171071870057
T1,T5,0.9829030936565212
T1,T6,0.9780076817919929
T1,T7,0.9702160286912781
T1,T8,0.9513432150831442
T2,T3,0.9979376903621681
T2,T4,0.9934243864317285
T2,T5,0.9889187593321456
T2,T6,0.9840540827143409
T2,T7,0.9747804358997164
T2,T8,0.9539864677769281
T3,T4,0.9975288942194983
T3,T5,0.9938422895955753
T3,T6,0.9891774629597183
T3,T7,0.9787718553148678
T3,T8,0.956762476598513
T4,T5,0.998178713791204
T4,T6,0.9938072388121865
T4,T7,0.982712284061723
T4,T8,0.9600992477571201
T5,T6,0.9971688797692407
T5,T7,0.9863091583807244
T5,T8,0.9638947653697654
T6,T7,0.9932810733965615
T6,T8,0.9728564411141036
T6,T_AV,0.9546356188375532
T7,T8,0.9903084713010986
T7,T9,0.965732501660572
T7,T_AV,0.9695949928297988
T8,T9,0.9899805077162019
T8,T10,0.9724803715727525
T8,T11,0.9550501914052477
T8,T_AV,0.9820321987561238
T9,T10,0.993557591251552
T9,T11,0.9810880187619138
T9,T12,0.9644200717535758
T9,T20,0.9505646183360654
T9,T_PK,0.961189957019396
T9,T_AV,0.9844225256494239
T10,T11,0.9940805893673763
T10,T12,0.98021158648941
T10,T13,0.9660193591038039
T10,T14,0.9530187436617534
T10,T19,0.9539257977863213
T10,T20,0.9538437341930132
T10,T_PK,0.973048696758089
T10,T_AV,0.9802025185899997
T11,T12,0.9923430565912592
T11,T13,0.9801965702199309
T11,T14,0.9685678943212128
T11,T15,0.956954305848767
T11,T16,0.9508488495519113
T11,T17,0.950429105091475
T11,T18,0.954779791781814
T11,T19,0.9580060233277502
T11,T20,0.9556970429092063
T11,T_PK,0.9800864596877296
T11,T_AV,0.9755728187248104
T12,T13,0.9935903613980301
T12,T14,0.9835512815443975
T12,T15,0.971599270532192
T12,T16,0.9639156342980202
T12,T17,0.9602697247828376
T12,T18,0.9602315164377159
T12,T19,0.960141533369768
T12,T20,0.9552825618840192
T12,T_PK,0.9822382296449492
T12,T_AV,0.969216038094673
T13,T14,0.9932955409763886
T13,T15,0.9810479127081763
T13,T16,0.9723067209152865
T13,T17,0.966018116605529
T13,T18,0.9622422196402095
T13,T19,0.9589770351820648
T13,T20,0.9516258582383909
T13,T_PK,0.9811937339951307
T13,T_AV,0.9613823530507951
T14,T15,0.9922555764788933
T14,T16,0.9832397251672131
T14,T17,0.9747660953290622
T14,T18,0.9668337720308253
T14,T19,0.9597507046969057
T14,T_PK,0.9790587331658137
T14,T_AV,0.9545534943554785
T15,T16,0.9944359468292497
T15,T17,0.9843567245026833
T15,T18,0.972501856458189
T15,T19,0.9616130333525877
T15,T_PK,0.9740267944498727
T16,T17,0.9936258179627842
T16,T18,0.980729100174603
T16,T19,0.9675966708817301
T16,T20,0.9532438741145285
T16,T_PK,0.9706640595799877
T17,T18,0.9932108567495895
T17,T19,0.9807859463885117
T17,T20,0.9668074771699132
T17,T21,0.9523916994350262
T17,T_PK,0.9688204460957912
T17,T_AV,0.9552631101748793
T18,T19,0.9942585722601865
T18,T20,0.9840521363151116
T18,T21,0.9722737077784684
T18,T22,0.9592092211589524
T18,T_PK,0.967311981000161
T18,T_AV,0.9677707642229505
T19,T20,0.995927051280483
T19,T21,0.9879860143092631
T19,T22,0.977744207110835
T19,T23,0.9675186171224199
T19,T_PK,0.9634523521403365
T19,T_AV,0.975467750773862
T20,T21,0.996696021843425
T20,T22,0.989317337505266
T20,T23,0.9810719788037529
T20,T_PK,0.9556127487268307
T20,T_AV,0.9762870926045649
T21,T22,0.9966229140720517
T21,T23,0.9905346425859822
T21,T_AV,0.972940817729098
T22,T23,0.9972936185070006
T22,T_AV,0.9664514746773057
T23,T_AV,0.9589707180997981
T_PK,T_AV,0.9727039769412194
